weekday,hr,cnt
0,0,93.99038461538461
0,1,77.4326923076923
0,2,61.627450980392155
0,3,31.14423076923077
0,4,9.362745098039216
0,5,8.693877551020408
0,6,14.495145631067961
0,7,33.10476190476191
0,8,83.85714285714286
0,9,156.54285714285714
0,10,258.5809523809524
0,11,315.3809523809524
0,12,372.96190476190475
0,13,374.93333333333334
0,14,363.62857142857143
0,15,353.93333333333334
0,16,355.4
0,17,318.77142857142854
0,18,272.62857142857143
0,19,225.47619047619048
0,20,168.02857142857144
0,21,127.64761904761905
0,22,94.12380952380953
0,23,61.89523809523809
1,0,34.00952380952381
1,1,17.307692307692307
1,2,10.313131313131313
1,3,5.11340206185567
1,4,5.785714285714286
1,5,21.653846153846153
1,6,85.86538461538461
1,7,248.53846153846155
1,8,412.1923076923077
1,9,218.44230769230768
1,10,139.02884615384616
1,11,163.69230769230768
1,12,207.5096153846154
1,13,205.6153846153846
1,14,192.70192307692307
1,15,202.3653846153846
1,16,284.4519230769231
1,17,502.3942307692308
1,18,481.34615384615387
1,19,344.5769230769231
1,20,242.07692307692307
1,21,174.53846153846155
1,22,115.75961538461539
1,23,65.40384615384616
2,0,27.623762376237625
2,1,12.54
2,2,6.801980198019802
2,3,4.1521739130434785
2,4,5.1313131313131315
2,5,24.455445544554454
2,6,106.5
2,7,299.69607843137254
2,8,471.7843137254902
2,9,236.45098039215685
2,10,129.22549019607843
2,11,146.31372549019608
2,12,182.7766990291262
2,13,182.9903846153846
2,14,168.3653846153846
2,15,186.90384615384616
2,16,286.7019230769231
2,17,544.2788461538462
2,18,517.5673076923077
2,19,353.9230769230769
2,20,253.19230769230768
2,21,186.23076923076923
2,22,132.27884615384616
2,23,76.17307692307692
3,0,34.55769230769231
3,1,15.336538461538462
3,2,7.813725490196078
3,3,4.888888888888889
3,4,4.96875
3,5,25.75
3,6,107.8076923076923
3,7,303.9807692307692
3,8,488.3269230769231
3,9,238.52884615384616
3,10,131.89423076923077
3,11,152.20192307692307
3,12,193.90384615384616
3,13,185.82692307692307
3,14,170.54807692307693
3,15,181.28846153846155
3,16,272.96153846153845
3,17,513.1442307692307
3,18,494.02912621359224
3,19,357.50485436893206
3,20,256.6601941747573
3,21,194.66990291262135
3,22,143.6893203883495
3,23,83.7378640776699
4,0,39.271844660194176
4,1,17.223300970873787
4,2,9.156862745098039
4,3,5.071428571428571
4,4,5.28
4,5,25.9126213592233
4,6,107.4368932038835
4,7,304.7378640776699
4,8,488.5728155339806
4,9,240.873786407767
4,10,132.5631067961165
4,11,158.83495145631068
4,12,199.51456310679612
4,13,196.4368932038835
4,14,177.5631067961165
4,15,196.4757281553398
4,16,286.2980769230769
4,17,527.3461538461538
4,18,502.09615384615387
4,19,358.4519230769231
4,20,268.91346153846155
4,21,197.8846153846154
4,22,147.2403846153846
4,23,96.75
5,0,52.43269230769231
5,1,24.721153846153847
5,2,12.740384615384615
5,3,6.598039215686274
5,4,6.072164948453608
5,5,23.903846153846153
5,6,90.02884615384616
5,7,254.32692307692307
5,8,462.27884615384613
5,9,258.99038461538464
5,10,157.73076923076923
5,11,188.1153846153846
5,12,237.64423076923077
5,13,241.47115384615384
5,14,229.3653846153846
5,15,252.46153846153845
5,16,330.99038461538464
5,17,492.41346153846155
5,18,420.99038461538464
5,19,302.0673076923077
5,20,213.32692307692307
5,21,169.875
5,22,147.06730769230768
5,23,115.21153846153847
6,0,94.3047619047619
6,1,67.78095238095239
6,2,50.49523809523809
6,3,22.885714285714286
6,4,7.6571428571428575
6,5,8.29126213592233
6,6,21.0
6,7,45.96190476190476
6,8,114.47619047619048
6,9,186.7904761904762
6,10,263.7238095238095
6,11,328.6095238095238
6,12,375.3809523809524
6,13,385.37142857142857
6,14,381.3333333333333
6,15,382.42857142857144
6,16,366.14285714285717
6,17,334.4095238095238
6,18,292.0480769230769
6,19,239.93269230769232
6,20,180.8653846153846
6,21,156.0
6,22,139.66346153846155
6,23,115.85576923076923
